m, snr, photon_count, lambda1, lambda2, id
15.60, 51.3, 1581511, 4129.50, 4166.50, 1
15.80, 50.4, 1526546, 4126.00, 4161.50, 2
15.40, 52.0, 1619588, 4133.50, 4169.00, 3
12.90, 50.7, 1543283, 4026.50, 4062.00, 4
12.50, 51.1, 1565826, 4018.67, 4057.33, 5
17.90, 50.0, 1500831, 4445.00, 4485.00, 6
16.00, 50.4, 1525806, 4206.00, 4243.00, 8
16.90, 50.2, 1513311, 4245.33, 4283.00, 9
16.30, 50.6, 1533813, 4223.33, 4260.33, 10
14.10, 52.2, 1635230, 4086.33, 4123.00, 11
14.70, 51.8, 1609532, 4102.00, 4136.67, 12
14.40, 51.6, 1596571, 4107.00, 4143.00, 13
18.50, 47.6, 1361305, 4449.50, 4491.50, 7
